date,fwi,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,infsinx
2003-03-03,2.3835347,27.195986,251.31123,16.816292,50.23607,0.75356096,0.85266376
2003-03-04,2.328257,26.806326,250.07207,16.495234,36.617695,0.77651554,0.6354731
2003-03-05,2.5371556,26.942663,249.76083,16.585644,36.230274,0.89660287,0.69497967
2003-03-06,2.612981,27.463894,251.05531,16.942085,41.248547,0.8954655,0.77290493
2003-03-07,2.6392145,28.055893,252.67244,17.355864,45.889236,0.87891304,0.827193
2003-03-08,2.8356757,28.292316,252.41551,17.516176,44.9682,0.9728977,0.92957354
2003-03-09,2.9775622,29.352686,254.78885,18.320045,54.15596,0.9995261,1.099245
2003-03-10,3.1989636,29.922155,256.29507,18.713749,54.438,1.1001002,1.2007025
2003-03-11,3.1587324,30.650202,258.25967,19.24018,56.73692,1.0543739,1.2083898
2003-03-12,3.0365644,30.275997,257.63388,18.91941,47.911243,1.0413101,0.9797015
2003-03-13,2.6937578,30.3368,257.46506,18.999567,51.01007,0.8389479,0.9460527
2003-03-14,2.3460743,28.907856,254.10991,18.028019,46.799385,0.7517963,0.7728282
2003-03-15,2.6549456,29.125938,254.45724,18.209705,50.515812,0.89006084,0.8994654
2003-03-16,2.414198,28.493067,252.84749,17.687464,39.939514,0.77589947,0.737356
2003-03-17,2.3282785,27.958694,251.72963,17.244078,34.518814,0.7539807,0.603167
2003-03-18,2.1797147,27.795639,251.12912,17.130705,34.13197,0.6800395,0.5492535
2003-03-19,2.140282,28.36554,252.16667,17.63157,47.439808,0.6473994,0.6821281
2003-03-20,2.79029,28.96245,253.60138,18.070045,51.883865,0.9818769,0.9843919
2003-03-21,2.8781931,29.092,253.59113,18.173887,49.1334,0.99518204,1.0329741
2003-03-22,2.599879,27.905691,249.80489,17.30777,40.656403,0.8721115,0.8067004
2003-03-23,2.1658611,27.102976,248.6219,16.784517,47.88994,0.67447466,0.6973615
2003-03-24,2.4413385,26.8316,250.18877,16.61323,54.924984,0.72891843,1.0247735
2003-03-25,3.118045,27.251734,250.75983,16.968227,51.190613,0.9070805,1.4269795
2003-03-26,3.225495,27.934864,251.86511,17.597776,55.020348,0.80185765,1.6354234
2003-03-27,2.880468,28.883305,254.64746,18.274263,60.95817,0.78634775,1.3090903
